29598: (192383268, 1) (0, 0) (0, 0) 
29637: (3808141705, -1) (0, 0) (0, 0) 
29772: (0, 0) (0, 0) (1743997931, -5) 
29818: (0, 0) (574313973, -3) (0, 0) 
29975: (0, 0) (2481915909, -1) (0, 0) 
30006: (0, 0) (0, 0) (3768101558, -1) 
30020: (0, 0) (668378228, 1) (0, 0) 
30091: (2615778702, -2) (0, 0) (0, 0) 
30184: (0, 0) (0, 0) (1240089857, -1) 
30297: (2980515969, -1) (0, 0) (0, 0) 
30326: (2591910913, 1) (0, 0) (0, 0) 
30337: (0, 0) (0, 0) (4251285877, 1) 
30424: (0, 0) (0, 0) (4045866231, 2) 
30722: (0, 0) (0, 0) (4285434746, -1) 
30799: (0, 0) (410924486, -1) (0, 0) 
30809: (0, 0) (0, 0) (3484318209, 1) 
30848: (0, 0) (1557529525, -3) (0, 0) 
30995: (0, 0) (0, 0) (2816905478, 1) 
30998: (0, 0) (92871814, 3) (0, 0) 
31047: (2813319022, -2) (0, 0) (0, 0) 
31078: (0, 0) (252606552, 5) (0, 0) 
31261: (401576198, -1) (0, 0) (0, 0) 
31293: (0, 0) (0, 0) (3396801231, 3) 
31338: (84984284, 1) (0, 0) (0, 0) 
31375: (0, 0) (599358017, -1) (0, 0) 
31477: (0, 0) (1271373362, -1) (0, 0) 
31527: (4131992197, -3) (0, 0) (0, 0) 
31617: (266983735, -1) (0, 0) (0, 0) 
31626: (0, 0) (2731706660, 1) (0, 0) 
31632: (0, 0) (0, 0) (1315633079, -1) 
31634: (0, 0) (0, 0) (1428681924, -1) 
31668: (0, 0) (0, 0) (3050396789, -1) 
31796: (0, 0) (0, 0) (3197897966, -5) 
31839: (0, 0) (2123707278, -1) (0, 0) 
31847: (0, 0) (1777037399, -3) (0, 0) 
31965: (1028729968, -1) (0, 0) (0, 0) 
31977: (0, 0) (0, 0) (3674827632, -1) 
